"Area","Length","Width","Eccentricity","Perimeter","TotalDye1","MeanDye1","TotalDye2","MeanDye2","TotalDye3","MeanDye3","Drug"
126,17.00864994,9.531788029,0.828216502,41.45584412,29872,237.0793651,236185,1874.484127,53775,426.7857143,"DrugF"
99,17.34543344,7.727156116,0.895288666,41.21320344,46439,469.0808081,213543,2157,70468,711.7979798,"DrugF"
284,44.97754562,8.702384288,0.981103655,95.63961031,63201,222.5387324,42448,149.4647887,341745,1203.327465,"DrugB"
752,48.39424463,24.01780977,0.868154086,174.1248917,225246,299.5292553,73053,97.14494681,442918,588.9867021,"DrugE"
158,28.08225497,7.740593362,0.961260932,61.11269837,24686,156.2405063,24474,154.8987342,199574,1263.126582,"DrugB"
86,13.71421698,8.358361282,0.792811516,36.38477631,47810,555.9302326,193693,2252.244186,67082,780.0232558,"DrugF"
368,51.38628167,9.601659446,0.982387964,103.1959595,24032,65.30434783,34014,92.42934783,259025,703.8722826,"DrugB"
141,20.64308444,8.915826188,0.901919689,48.72792206,22726,161.177305,372903,2644.702128,157164,1114.638298,"DrugD"
1043,95.95446213,32.99680075,0.939013678,250.6101731,728328,698.3010547,394718,378.4448706,1262115,1210.081496,"DrugA"
325,36.19263731,11.98388357,0.94359081,82.91168825,71750,220.7692308,409167,1258.975385,275733,848.4092308,"DrugF"
272,27.72655926,13.83761618,0.866559135,71.11269837,118765,436.6360294,301516,1108.514706,262269,964.2242647,"DrugC"
247,30.39635887,10.70532822,0.935928097,69.254834,168987,684.1578947,18288,74.04048583,199732,808.6315789,"DrugB"
1100,47.40638367,39.63361583,0.548669048,261.764502,684422,622.2018182,127911,116.2827273,1237514,1125.012727,"DrugB"
158,22.94166055,9.166207842,0.916713923,54.28427125,82021,519.1202532,552813,3498.816456,146908,929.7974684,"DrugF"
159,21.03653144,9.710415035,0.887089365,48.28427125,49103,308.8238994,43413,273.0377358,57837,363.754717,"DrugC"
168,21.63672825,10.0151504,0.886422362,50.97056275,138988,827.3095238,34013,202.4583333,243552,1449.714286,"DrugA"
164,27.02556254,8.205392603,0.952794489,58.76955262,85985,524.2987805,197771,1205.920732,263856,1608.878049,"DrugC"
165,22.43421249,9.615337925,0.903493621,52.04163056,6813,41.29090909,13938,84.47272727,194772,1180.436364,"DrugF"
124,18.88018123,8.608154532,0.890012558,45.21320344,57663,465.0241935,80505,649.233871,183564,1480.354839,"DrugC"
180,23.01447706,10.07370462,0.899115407,53.9411255,68527,380.7055556,86773,482.0722222,146909,816.1611111,"DrugC"
476,65.27956106,16.63691863,0.966978893,158.3675324,73497,154.4054622,60551,127.2079832,598287,1256.905462,"DrugB"
355,36.36274391,12.7012764,0.937013303,83.254834,407385,1147.56338,376470,1060.478873,442161,1245.523944,"DrugA"
705,89.38698564,12.7386902,0.989793119,185.764502,223999,317.729078,106281,150.7531915,426113,604.4156028,"DrugB"
138,22.50404777,8.282864904,0.9298016,50.14213562,11942,86.53623188,10701,77.54347826,125168,907.0144928,"DrugB"
305,38.29356755,10.50497961,0.961636319,82.66904756,145796,478.0196721,36432,119.4491803,201558,660.8459016,"DrugB"
210,28.75978186,9.463208584,0.944314894,65.11269837,44943,214.0142857,311785,1484.690476,103667,493.652381,"DrugF"
197,21.66761411,11.70321478,0.841584962,52.87005769,80774,410.0203046,231197,1173.588832,100556,510.4365482,"DrugC"
178,26.32945937,9.168107047,0.937417598,58.627417,252112,1416.359551,19223,107.994382,153049,859.8258427,"DrugB"
278,33.62317122,10.97974497,0.945178917,74.76955262,680378,2447.402878,38549,138.6654676,228006,820.1654676,"DrugA"
216,36.02626571,9.690732937,0.963142755,76.91168825,57074,264.2314815,11396,52.75925926,117214,542.6574074,"DrugB"
171,22.40334476,9.920441861,0.896615102,52.627417,79243,463.4093567,17749,103.7953216,118081,690.5321637,"DrugB"
280,28.51449756,12.64600016,0.896277487,66.627417,460873,1645.975,253455,905.1964286,300309,1072.532143,"DrugA"
535,59.45652369,11.75173741,0.980272127,125.5979797,27423,51.25794393,5798,10.83738318,50260,93.94392523,"DrugE"
313,35.32258182,11.74700379,0.943080842,81.35533906,41300,131.9488818,8935,28.54632588,90987,290.6932907,"DrugE"
381,46.32328045,10.810767,0.972386441,96.04163056,26267,68.94225722,35871,94.1496063,156150,409.8425197,"DrugA"
208,28.78762671,9.378991013,0.945438926,64.18376618,93105,447.6201923,129671,623.4182692,299934,1441.990385,"DrugC"
472,59.10808423,11.38057392,0.981289447,125.254834,312818,662.75,47221,100.0444915,407684,863.7372881,"DrugB"
341,44.30393423,12.80497946,0.957321312,102.6690476,57161,167.627566,53531,156.9824047,383556,1124.797654,"DrugB"
220,37.26121175,8.016223528,0.976584125,76.66904756,29346,133.3909091,20967,95.30454545,211749,962.4954545,"DrugB"
121,20.34810826,7.907023915,0.921411757,47.11269837,16748,138.4132231,19072,157.6198347,134625,1112.603306,"DrugB"
488,56.44010537,11.45012309,0.979205243,120.509668,119549,244.977459,30925,63.37090164,248545,509.3135246,"DrugB"
121,19.09644086,8.25683057,0.901693709,44.14213562,16282,134.5619835,195197,1613.198347,72052,595.4710744,"DrugD"
302,37.15961729,11.95318309,0.946851394,83.254834,275393,911.897351,18068,59.82781457,277845,920.0165563,"DrugB"
175,22.7093584,10.52802837,0.886045299,54.87005769,62706,358.32,313684,1792.48,160525,917.2857143,"DrugF"
178,19.90067919,11.7961119,0.805387095,51.79898987,165520,929.8876404,346204,1944.966292,112171,630.1741573,"DrugA"
296,36.27541025,10.7104016,0.955419293,77.79898987,222685,752.3141892,139676,471.8783784,421999,1425.672297,"DrugA"
939,103.7452901,16.12168693,0.987852131,216.1076477,400907,426.9510117,105258,112.0958466,609753,649.3642173,"DrugB"
154,20.24106362,9.836506941,0.873976665,47.3137085,19884,129.1168831,286703,1861.707792,52560,341.2987013,"DrugD"
206,25.72670763,10.38314429,0.914938195,59.01219331,7695,37.35436893,4677,22.7038835,274294,1331.524272,"DrugF"
181,21.30407733,10.93598595,0.858192315,52.38477631,25896,143.0718232,288445,1593.618785,122774,678.3093923,"DrugD"
105,18.18548164,7.670156206,0.906701176,42.38477631,58097,553.3047619,11631,110.7714286,92385,879.8571429,"DrugB"
521,71.3928912,10.92907685,0.98821325,150.6690476,62891,120.7120921,74930,143.8195777,567216,1088.706334,"DrugB"
115,15.53263458,9.640333402,0.784087545,39.45584412,49573,431.0695652,104683,910.2869565,172963,1504.026087,"DrugC"
155,20.21137243,9.944512798,0.870580727,48.87005769,50621,326.5870968,40561,261.683871,119763,772.6645161,"DrugC"
444,36.00712896,15.82427801,0.89825421,86.56854249,29591,66.6463964,7701,17.34459459,63929,143.9842342,"DrugE"
152,23.61457741,8.471296253,0.933440735,53.69848481,17286,113.7236842,48420,318.5526316,210411,1384.282895,"DrugF"
796,50.82233127,29.35140746,0.816369651,172.6518036,98871,124.209799,20783,26.10929648,137528,172.7738693,"DrugE"
391,62.70718859,9.269719884,0.989013463,120.8700577,36814,94.15345269,26651,68.16112532,265220,678.3120205,"DrugB"
328,40.94814919,10.95613087,0.963540902,90.18376618,39765,121.2347561,17000,51.82926829,114654,349.554878,"DrugE"
377,55.50591109,10.00570522,0.983618305,112.3675324,208118,552.0371353,26488,70.25994695,277608,736.3607427,"DrugB"
324,34.11424915,12.90208121,0.925723047,81.11269837,61228,188.9753086,8882,27.41358025,96476,297.7654321,"DrugE"
162,20.47392728,10.22291462,0.866421214,49.55634919,86976,536.8888889,39002,240.7530864,103905,641.3888889,"DrugC"
236,36.26304822,8.810307418,0.970037432,76.18376618,90476,383.3728814,116644,494.2542373,249070,1055.381356,"DrugC"
86,12.94035817,8.679819722,0.74167831,33.55634919,21840,253.9534884,204419,2376.965116,81579,948.5930233,"DrugD"
252,32.55847618,9.970568945,0.95195571,70.97056275,263894,1047.198413,151976,603.0793651,356321,1413.972222,"DrugA"
155,19.94743947,10.08335492,0.862828829,48.04163056,25488,164.4387097,271888,1754.116129,79846,515.1354839,"DrugD"
495,50.10151206,27.82241026,0.831636244,155.0954544,147345,297.6666667,928187,1875.125253,425339,859.2707071,"DrugF"
223,28.51420752,10.17204494,0.93420523,63.84062043,51629,231.5201794,406918,1824.744395,96984,434.9058296,"DrugF"
289,44.51675444,9.004458219,0.979329543,90.04163056,40487,140.0934256,33389,115.532872,258113,893.1245675,"DrugB"
617,49.06965812,19.72564534,0.915642863,171.3969696,480958,779.5105348,199214,322.8752026,789359,1279.350081,"DrugA"
308,34.04359021,11.63795101,0.939752931,75.21320344,92739,301.1006494,44110,143.2142857,217983,707.737013,"DrugA"
389,47.081474,11.62083189,0.969060356,101.7401154,224816,577.933162,44370,114.0616967,323526,831.6863753,"DrugB"
390,41.28119549,12.62985905,0.952048537,90.76955262,56992,146.1333333,48552,124.4923077,269266,690.425641,"DrugA"
465,44.31929617,14.40536829,0.945701632,105.8406204,44540,95.78494624,6014,12.93333333,49290,106,"DrugE"
198,26.95056894,9.582769454,0.93465028,60.42640687,80920,408.6868687,389884,1969.111111,161106,813.6666667,"DrugF"
189,27.19658648,10.4128922,0.923800172,64.28427125,214909,1137.084656,432743,2289.645503,144487,764.4814815,"DrugA"
246,35.37113886,9.902598834,0.960010884,76.28427125,30999,126.0121951,134695,547.5406504,285467,1160.434959,"DrugF"
412,43.77579517,12.84459491,0.955984325,97.63961031,42928,104.1941748,13214,32.07281553,70994,172.315534,"DrugE"
616,90.97123231,12.11428743,0.991093729,186.6934342,121851,197.8100649,70228,114.0064935,643634,1044.86039,"DrugB"
171,30.48128694,7.831857042,0.966427399,64.38477631,95832,560.4210526,17273,101.0116959,142775,834.9415205,"DrugB"
164,18.46088783,11.3799375,0.787405793,47.21320344,16204,98.80487805,204946,1249.670732,179657,1095.469512,"DrugF"
402,41.89201302,12.39600394,0.955217759,94.66904756,23593,58.68905473,8262,20.55223881,62635,155.8084577,"DrugE"
689,64.73743535,17.80486587,0.961435075,218.7106781,166745,242.0101597,110803,160.8171263,899654,1305.738752,"DrugB"
238,32.34204852,9.752917894,0.953448671,71.15432893,108640,456.4705882,15495,65.10504202,155353,652.7436975,"DrugB"
394,27.80806627,20.62630087,0.670689693,84.66904756,33052,83.88832487,38925,98.79441624,295006,748.7461929,"DrugF"
318,37.12275683,11.34415697,0.952164807,81.35533906,77341,243.2106918,45250,142.2955975,235318,739.9937107,"DrugA"
405,44.46405829,12.04833201,0.962588387,96.12489168,110420,272.6419753,9725,24.01234568,135264,333.9851852,"DrugB"
192,27.06279863,9.357686785,0.938316809,59.69848481,16849,87.75520833,72388,377.0208333,141295,735.9114583,"DrugD"
482,59.77120592,12.37828328,0.97832096,128.0832611,65648,136.1991701,80906,167.8547718,574596,1192.107884,"DrugB"
104,15.41497259,8.815130699,0.820354645,38.38477631,18913,181.8557692,206978,1990.173077,62322,599.25,"DrugD"
248,36.88324455,10.00517627,0.962504373,78.08326112,36972,149.0806452,33744,136.0645161,228345,920.7459677,"DrugB"
641,76.32448492,12.21182056,0.98711722,159.137085,69963,109.1466459,75759,118.1887676,644996,1006.234009,"DrugB"
175,25.15361024,9.845698291,0.92021092,61.01219331,26955,154.0285714,230267,1315.811429,139842,799.0971429,"DrugF"
601,75.61903436,12.06546697,0.987188887,152.509668,144808,240.9450915,105759,175.9717138,766189,1274.856905,"DrugB"
160,24.76424696,8.511021616,0.939086153,54.52691193,43924,274.525,379863,2374.14375,146649,916.55625,"DrugF"
65,11.17933385,7.789003117,0.717331225,29.3137085,23001,353.8615385,5001,76.93846154,32744,503.7538462,"DrugB"
194,23.80241895,10.4884699,0.897680356,55.35533906,28475,146.7783505,25192,129.8556701,246432,1270.268041,"DrugF"
174,20.95131263,10.79644273,0.857003227,50.28427125,25130,144.4252874,316902,1821.275862,73954,425.0229885,"DrugD"
282,31.55533928,11.52039467,0.930974021,71.49747468,221408,785.1347518,739029,2620.670213,190617,675.9468085,"DrugA"
268,37.29591999,9.698496577,0.965597372,77.79898987,32471,121.1604478,37998,141.7835821,259645,968.8246269,"DrugB"
382,48.28596587,12.78227894,0.964325217,114.6690476,134972,353.3298429,648661,1698.065445,586953,1536.526178,"DrugF"
187,23.41989883,10.28993424,0.898307579,54.52691193,27538,147.2620321,377746,2020.032086,103304,552.4278075,"DrugD"
297,31.97244849,12.0915648,0.925729217,74.08326112,121023,407.4848485,41770,140.6397306,252062,848.6936027,"DrugB"
411,65.88280001,10.18828868,0.987970476,134.0243866,74038,180.1411192,67590,164.4525547,582264,1416.70073,"DrugB"
213,25.95793476,10.61740128,0.91252392,60.28427125,27913,131.0469484,36815,172.8403756,248129,1164.924883,"DrugF"
347,36.59707833,16.22106852,0.896405959,118.8111832,48480,139.7118156,455744,1313.383285,214810,619.0489914,"DrugD"
226,33.19906118,8.929445087,0.96314945,72.52691193,67333,297.9336283,53949,238.7123894,246849,1092.252212,"DrugA"
164,21.89175279,10.52190616,0.876921659,54.28427125,21632,131.902439,3588,21.87804878,21219,129.3841463,"DrugE"
706,64.61878757,15.58018597,0.970497986,140.6101731,51621,73.11756374,9262,13.11898017,87031,123.2733711,"DrugE"
181,29.58854922,8.295732048,0.9598921,63.59797975,127222,702.8839779,467708,2584.022099,206463,1140.679558,"DrugF"
257,42.80729385,9.386008522,0.975666039,88.56854249,30757,119.6770428,24916,96.94941634,197863,769.8949416,"DrugB"
202,30.72914947,9.052970669,0.955619019,69.45584412,27328,135.2871287,4342,21.4950495,50866,251.8118812,"DrugE"
316,51.86414417,9.406635699,0.983414802,105.6984848,26029,82.37025316,38536,121.9493671,306420,969.6835443,"DrugB"
371,48.11225149,11.23499453,0.972352889,102.7695526,63490,171.1320755,57425,154.7843666,271725,732.4123989,"DrugB"
416,48.77468981,11.54549138,0.971580177,101.2964646,240126,577.2259615,49031,117.8629808,240524,578.1826923,"DrugA"
758,82.68969624,17.48521234,0.97738757,212.9949494,111606,147.237467,121329,160.0646438,239291,315.6873351,"DrugE"
156,18.55024202,10.80818476,0.812727582,46.38477631,53438,342.5512821,109941,704.75,126574,811.3717949,"DrugC"
263,32.33298989,10.7370879,0.943251785,73.84062043,22544,85.71863118,28773,109.4030418,243626,926.3346008,"DrugB"
323,35.71208375,11.70721954,0.944739383,79.9411255,204612,633.4736842,603276,1867.727554,416375,1289.086687,"DrugC"
207,22.81776935,11.66773234,0.859376044,55.79898987,89612,432.9082126,126216,609.7391304,261313,1262.381643,"DrugC"
198,23.060551,11.06928717,0.877263204,54.52691193,306824,1549.616162,27163,137.1868687,177629,897.1161616,"DrugA"
649,67.65423819,12.57043288,0.982586814,138.0660172,35024,53.96610169,56879,87.64098613,407645,628.1124807,"DrugB"
699,63.59657673,19.71766604,0.950722573,163.4802307,219828,314.4892704,1122445,1605.786838,835313,1195.011445,"DrugF"
377,42.57769718,13.49549089,0.948438404,104.1837662,198033,525.2864721,262507,696.3050398,505798,1341.639257,"DrugC"
177,24.44226511,9.464080174,0.921995145,55.9411255,118067,667.0451977,110274,623.0169492,176390,996.5536723,"DrugA"
187,25.43200965,10.5550282,0.909808063,61.35533906,29237,156.3475936,188070,1005.721925,260093,1390.871658,"DrugD"
131,19.25828021,8.832756135,0.888618452,44.28427125,42464,324.1526718,6347,48.45038168,92775,708.2061069,"DrugB"
450,57.49816588,11.44605175,0.979985655,119.882251,54341,120.7577778,46862,104.1377778,476964,1059.92,"DrugB"
269,39.01342755,9.634942924,0.969024454,82.28427125,107029,397.8773234,9592,35.65799257,100236,372.6245353,"DrugB"
195,25.75719751,9.872123435,0.923633735,57.79898987,82847,424.8564103,206135,1057.102564,188788,968.1435897,"DrugC"
196,24.42822671,10.43272619,0.904215407,55.79898987,20942,106.8469388,27818,141.9285714,121789,621.372449,"DrugF"
583,58.23894821,16.78080632,0.957589142,148.0832611,41296,70.83361921,8597,14.74614065,124032,212.7478559,"DrugE"
220,25.61159822,11.3505514,0.896432582,62.18376618,410075,1863.977273,6889,31.31363636,227016,1031.890909,"DrugB"
244,39.16272247,9.32136821,0.971261148,82.91168825,66234,271.4508197,869818,3564.827869,247843,1015.75,"DrugF"
186,28.90133434,9.032754991,0.949905374,63.35533906,60226,323.7956989,450773,2423.510753,191545,1029.811828,"DrugF"
650,74.6382933,14.93685298,0.979770744,154.8528137,190968,293.7969231,183075,281.6538462,639930,984.5076923,"DrugA"
291,34.62963527,11.10449565,0.947192832,78.08326112,523189,1797.900344,9782,33.61512027,359407,1235.075601,"DrugB"
172,19.28166931,11.68336362,0.795517108,50.38477631,58476,339.9767442,53521,311.1686047,205239,1193.25,"DrugC"
238,26.12246497,11.74363812,0.893249698,62.627417,130427,548.012605,82420,346.302521,294897,1239.063025,"DrugA"
401,42.17172124,12.62358065,0.954147273,93.15432893,48654,121.3316708,42548,106.1047382,219354,547.0174564,"DrugA"
186,25.20169846,9.717828645,0.922665159,58.38477631,292763,1573.994624,32399,174.188172,173999,935.4784946,"DrugA"
436,55.57846288,10.79063727,0.980971573,114.8528137,253921,582.3876147,32510,74.56422018,378544,868.2201835,"DrugB"
1052,89.66662499,28.48170811,0.94821138,284.1492783,96059,91.3108365,118618,112.7547529,971236,923.2281369,"DrugB"
436,48.19943928,12.13240031,0.96780206,102.4264069,79600,182.5688073,57355,131.5481651,208169,477.4518349,"DrugA"
542,54.96138097,13.44942489,0.969597118,125.0538239,67315,124.197417,11620,21.43911439,108603,200.3745387,"DrugE"
581,45.55445252,19.6967463,0.901692411,181.3380951,191762,330.0550775,1206291,2076.232358,541830,932.5817556,"DrugF"
1543,98.11249822,37.11073966,0.925704785,387.4041123,128538,83.30395334,214668,139.1237848,1435899,930.5891121,"DrugB"
482,58.45063099,10.89498939,0.982474614,121.6396103,1430015,2966.8361,54315,112.686722,325837,676.0103734,"DrugA"
124,17.75901143,9.098095125,0.858801403,42.97056275,24086,194.2419355,240481,1939.362903,97856,789.1612903,"DrugD"
463,38.13843735,21.11825803,0.832698697,173.5391052,120975,261.2850972,596860,1289.114471,725746,1567.485961,"DrugF"
337,33.4665976,13.11293277,0.920041252,79.01219331,39895,118.3827893,5856,17.3768546,33871,100.5074184,"DrugE"
178,23.89634001,9.623029171,0.915332518,54.18376618,81316,456.8314607,373790,2099.94382,107588,604.4269663,"DrugF"
145,22.67754916,8.432703249,0.92829183,51.69848481,27375,188.7931034,363888,2509.572414,81104,559.337931,"DrugD"
502,53.13275096,12.54204683,0.971740632,113.0538239,582361,1160.081673,77892,155.1633466,616326,1227.741036,"DrugA"
230,24.98822844,12.10665825,0.874794329,62.38477631,17939,77.99565217,4148,18.03478261,35645,154.9782609,"DrugE"
313,31.931726,12.62854272,0.918472111,73.254834,756181,2415.913738,258544,826.0191693,236493,755.5686901,"DrugA"
132,15.78515422,10.72113671,0.73396145,40.97056275,76305,578.0681818,125521,950.9166667,71865,544.4318182,"DrugC"
565,58.62236064,12.807266,0.975843517,122.5269119,121738,215.4654867,21144,37.42300885,486709,861.4318584,"DrugE"
276,56.1367369,6.868609539,0.992486402,109.4386002,23664,85.73913043,29393,106.4963768,242961,880.2934783,"DrugB"
189,24.38629726,10.16136588,0.909051661,56.627417,78576,415.7460317,111865,591.8783069,261108,1381.52381,"DrugC"
258,29.02112054,11.45091787,0.918865081,66.76955262,111667,432.8178295,135091,523.6085271,368778,1429.372093,"DrugC"
114,16.63815189,8.920384292,0.844128867,40.627417,22743,199.5,52822,463.3508772,128944,1131.087719,"DrugF"
130,21.54962917,8.195562817,0.924858627,48.28427125,61071,469.7769231,82498,634.6,199380,1533.692308,"DrugC"
268,39.15190829,9.629868842,0.969279555,83.254834,79337,296.0335821,35156,131.1791045,241780,902.1641791,"DrugA"
278,33.35521089,10.77794823,0.946355826,72.14213562,43481,156.4064748,37498,134.8848921,279404,1005.05036,"DrugA"
172,19.49453941,11.39566042,0.811352979,49.69848481,64843,376.994186,95994,558.1046512,84379,490.5755814,"DrugA"
222,33.52928957,8.936884424,0.96382396,71.98275606,46693,210.3288288,768784,3462.990991,210590,948.6036036,"DrugF"
89,12.81483025,9.468870993,0.673815707,35.89949494,23535,264.4382022,209212,2350.696629,61610,692.247191,"DrugD"
183,25.86039408,9.684689702,0.927227349,60.87005769,122751,670.7704918,569117,3109.928962,264038,1442.830601,"DrugF"
119,18.97968402,8.202060438,0.901801992,43.45584412,56885,478.0252101,89425,751.4705882,109405,919.3697479,"DrugC"
90,12.53758997,9.293457053,0.671231825,33.3137085,13496,149.9555556,42583,473.1444444,102615,1140.166667,"DrugF"
194,31.48976427,8.465146985,0.963189824,67.45584412,45784,236,348732,1797.587629,180363,929.7061856,"DrugF"
120,17.18443668,9.135986376,0.846968514,42.38477631,19451,162.0916667,11390,94.91666667,104227,868.5583333,"DrugB"
211,29.40889598,9.581409311,0.945438818,64.76955262,18232,86.40758294,83132,393.9905213,198321,939.9099526,"DrugF"
118,22.97864482,6.794128604,0.955289699,48.72792206,34731,294.3305085,342133,2899.432203,123381,1045.601695,"DrugD"
114,21.73990517,7.237141398,0.942963322,46.87005769,15548,136.3859649,279204,2449.157895,85031,745.8859649,"DrugD"
354,35.92003353,13.97565984,0.921205225,87.01219331,91978,259.8248588,513988,1451.943503,377856,1067.389831,"DrugF"
623,84.4191145,15.89640245,0.982110914,182.6518036,95244,152.8796148,88190,141.5569823,597014,958.2889246,"DrugB"
197,27.95233017,9.449998358,0.941118987,63.59797975,28530,144.822335,27454,139.3604061,216456,1098.761421,"DrugB"
482,55.13496224,12.01381048,0.975971497,122.5685425,1156855,2400.114108,293802,609.5477178,616461,1278.96473,"DrugA"
247,35.51577349,9.293301726,0.965158247,76.08326112,122344,495.3198381,14035,56.82186235,194893,789.0404858,"DrugB"
118,18.13484005,8.53991355,0.882180198,43.21320344,21441,181.7033898,232565,1970.889831,97013,822.1440678,"DrugD"
362,54.38130391,10.27323448,0.981994185,110.8111832,185013,511.0856354,31406,86.75690608,321207,887.3121547,"DrugB"
1425,148.138973,17.38574914,0.99308931,300.3330445,466519,327.3817544,118537,83.18385965,920231,645.7761404,"DrugB"
363,49.21343111,9.828136867,0.979856197,105.3969696,39648,109.2231405,117964,324.969697,278574,767.4214876,"DrugB"
545,70.52657671,10.80678557,0.988190556,144.3259018,71480,131.1559633,70538,129.4275229,558076,1023.992661,"DrugB"
210,34.59307903,8.5285631,0.969132724,75.49747468,86450,411.6666667,17084,81.35238095,139481,664.1952381,"DrugB"
237,31.75869849,12.18754442,0.923435142,75.49747468,133956,565.2151899,526915,2223.270042,243890,1029.07173,"DrugF"
280,36.6576658,10.06308473,0.961582774,79.69848481,53004,189.3,38206,136.45,192277,686.7035714,"DrugA"
193,22.7347811,10.97479036,0.875768517,54.627417,92001,476.6891192,156355,810.1295337,160461,831.4041451,"DrugC"
280,33.41156084,11.00212334,0.944228519,74.52691193,115449,412.3178571,101405,362.1607143,308436,1101.557143,"DrugC"
